NC_001422.1,Phage_F
NC_002166.1,Lambda_tail_I DDE_Tnp_1_5 DUF1364 Antiterm DnaB DUF2560 Phage_TAC_13 ANT Phage_pRha Lambda_Kil Phage_capsid P63C DUF1983 Phage-tail_3 Peptidase_S74 Peptidase_S24 Prok-JAB NLPC_P60 Phage_CII DUF551 Phage_TTP_11 Phage_lysozyme Phage_lysis Phage_holin_3_1 Phage_H_T_join Phage_integrase Tape_meas_lam_C DUF3168 Phage_min_tail Terminase_1 NinB Phage_int_SAM_1 ERF HNH Phage_portal Phage_tail_L YebO HTH_3 KilA-N RusA Phage_connect_1 Peptidase_S78 HNH_3 DUF2856 AP2 FlbD Arm-DNA-bind_1 HK97-gp10_like Phage_NinH DnaB_C
NC_002214.1,Phage_tail_2 Terminase_6 Sipho_Gp157 DUF4355 DUF1366 ResIII DUF1642 Terminase_6C Phage_holin_1 Pox_D5 AAA_24 DUF739 DUF1340 Helicase_C Prim-Pol Phage_cap_E PriCT_1 Prophage_tail Sipho_tail ZoocinA_TRD AAA_30 Phage_prot_Gp6 Phage_Mu_F VRR_NUC DUF3168 Phage_holin_4_1 DUF669 HTH_3 Amidase_5 Phage_TAC_12 DUF859 DUF1372
NC_002195.1,TT_ORF2 TT_ORF1
NC_001421.2,DNA_pol_B_2 Phage_holin_3_3 SLT Muraidase
NC_001465.1,RNA_helicase Viral_Rep
NC_001505.2,Papo_T_antigen T_Ag_DNA_bind Polyoma_coat Polyoma_lg_T_C Polyoma_coat2
NC_001541.1,E7 PPV_E1_N Late_protein_L1 Late_protein_L2 PPV_E1_C E6 PPV_E2_C PPV_E2_N
NC_001939.1,Gemini_BL1 Gemini_coat
NC_001938.1,Gemini_AL3 Gemini_coat Gemini_AL1 Gemini_AL1_M
NC_001875.2,Baculo_p24 FGF TATR DUF1098 Baculo_LEF5_C Ac81 Nucleo_P87 Nucleo_LEF-12 Ribonuc_red_sm DUF1251 Phage_integrase Baculo_RING Baculo_VP1054 DUF1383 Baculo_helicase Baculo_F Glyco_hydro_18 BIR DNA_pol_B_exo1 Baculo_E25 Baculo_LEF-3 Baculo_p33 Baculo_PEP_N ChitinaseA_N Ribonuc_red_lgC CBM_14 Pkip-1 Sod_Cu Baculo_LEF-2 LEF-8 Baculo_PP31 Baculo_p47 DUF884 DUF3627 Baculo_8kDa Baculo_VP39 Helicase_C DUF918 DUF1623 Ac76 Baculo_ME53 DNA_pol_B_exo2 PIF2 Baculo_19 zf-C3HC4_3 Baculo_gp64 Baculo_gp41 Orf78 Baculo_p74 DUF1386 Baculo_ODV-E27 Baculo_LEF5 zf-C3HC4 Herpes_alk_exo DNA_pol_B ChaB DUF919 Baculo_p26 PIF6 RNase_H_2 PIF LEF-4 Desmo_N Lyase_8_N Inhibitor_I29 Peptidase_C1 Baculo_E56 NPV_P10 GIY-YIG dUTPase DUF844 PCNA_N Arif-1 DUF1247 DUF2719 DUF705 LPMO_10 Baculo_p74_N DUF682 Viral_env_E26 UDPGT Baculo_11_kDa PCNA_C DUF816 Ac110_PIF DSPc Baculo_PEP_C AcMNPV_Ac109 ODV-E18 ubiquitin Pkinase WH2 Baculo_VP91_N DUF424 Baculo_Y142 SNF2_N DUF1160 DUF1477 PIF3 Baculo_E66 DUF5470 DUF2704 Baculo_FP Polyhedrin LEF-9 Baculo_DNA_bind Baculo_IE-1 Baculo_p48
NC_001962.1,DUF2704 Baculo_LEF5 Baculo_FP Baculo_E56 Baculo_PEP_C Baculo_8kDa FtsJ ODV-E18 Arif-1 Baculo_p48 Polyhedrin Baculo_11_kDa Viral_env_E26 P35 Baculo_p26 DUF1247 Helicase_C Ac110_PIF ChaB DUF1477 LPMO_10 LEF-9 DUF1160 Baculo_Y142 PIF3 Baculo_gp41 Baculo_p47 DUF2682 DUF919 Baculo_p24 Inhibitor_I29 PIF GIY-YIG Ac81 Baculo_PEP_N zf-C3HC4_3 TATR Baculo_E25 DUF424 DUF918 LEF-8 DUF3627 PIF6 CBM_14 Baculo_LEF-3 DNA_pol_B Orf78 DUF844 Phage_integrase zf-C3HC4 Nucleo_LEF-12 DUF705 Glyco_hydro_18 SNF2_N Baculo_p33 Baculo_LEF-11 Pkip-1 BIR Baculo_LEF-2 Nucleo_P87 Baculo_helicase Ac76 DUF682 DSPc Baculo_E66 PIF2 Baculo_LEF5_C Desmo_N Baculo_IE-1 Baculo_VP1054 Baculo_DNA_bind RNase_H_2 UDPGT Bro-N DUF816 Baculo_F Baculo_VP91_N AcMNPV_Ac109 TLP-20 Baculo_19 DUF1386 DUF5470 T5orf172 Herpes_alk_exo ChitinaseA_N DUF2719 Baculo_ME53 DUF884 NPV_P10 DUF1251 Baculo_PP31 ubiquitin Baculo_RING Pkinase DUF1383 Baculo_VP39 LEF-4 DUF2616 DUF1623 Sod_Cu Baculo_ODV-E27 MUG113 Peptidase_C1 DNA_pol_B_exo1 Baculo_p74 Baculo_p74_N FGF DUF1098 Baculo_gp64
NC_002362.1,DUF2523 Zot DUF3693 Rep_trans
NC_002520.1,Bro-N Pox_int_trans dUTPase Topoisom_I Pox_G9-A16 RNA_pol_Rpb1_2 PP2C Pox_A21 EF-hand_7 Pox_polyA_pol ubiquitin MUG113 UDG Endonuclea_NS_2 Pox_E10 Sod_Cu Pox_A32 DNA_pol_B_thumb DEAD RNA_pol_Rpb2_3 L1R_F9L T5orf172 Toxin_18 Pox_polyA_pol_N Pox_L3_FP4 MSV199 NPHI_C NMN_transporter Pox_ATPase-GT zf-C3HC4_3 ABC_tran Chordopox_G3 A2L_zn_ribbon zf-FCS Pox_MCEL ResIII LRR_4 PP1c_bdg RNA_pol_Rpb2_7 NPH-II Peptidase_M10 Helicase_C Pkinase PARP_regulatory SNF2_N Lipase_3 TK Pox_VLTF3 DNA_pol_B_3 Pox_Rap94 DNA_photolyase Pox_A11 DNA_ligase_OB BIR DNA_pol_B_exo1 Pox_ser-thr_kin Pox_VERT_large DSPc VirDNA-topo-I_N Pox_Rif D5_N RNA_pol_Rpb1_4 Pox_A22 Glyco_transf_25 Pox_P4B RNA_ligase AIG2_2 Pox_LP_H2 RNA_pol_Rpb1_3 Methyltransf_31 DUF3627 Pox_A28 RNA_pol_Rpb2_6 Pox_G5 RNA_pol_Rpb1_5 Peptidase_C57 KilA-N DNA_pol_B NMT Pox_polyA_pol_C
NC_002556.1,Gemini_BL1 Gemini_coat
NC_002555.1,Gemini_AL3 Gemini_AC4_5 Gemini_AL1_M Gemini_AL1
NC_000929.1,HTH_Tnp_Mu_2 DUF1834 Mor Mu-like_Pro Phage_GPD DUF1018 DNA_circ_N DUF3486 Mu-like_gpT Phage_Mu_Gp45 Phage_sheath_1 DUF2313 GP46 Phage_sheath_1C Tail_tube DDE_2 HTH_35 DUF2635 DUF1320 HTH_Tnp_Mu_1 Phage_fiber_2 Caudo_TAP Phage_Mu_Gam Phage_sheath_1N Phage_Mu_F DUF935 HTH_7 AAA_22 Mu-transpos_C Phage_tail_S Phage_TAC_7 Resolvase Phage_lysozyme Baseplate_J
NC_002656.1,Phage_Gp19 DNA_pol_A_exo1 GP24_25 Endonuclease_7 AAA_25 DUF2744 DNA_pol_A Phage_prot_Gp6 Phage_capsid Gp52 Beta-lactamase PDDEXK_1 Peptidase_M15_4 Recombinase Glutaredoxin Gp79 Toprim_2 Resolvase Imm_superinfect Gp63
NC_002671.1,HTH_3 DUF4065 Phage_integrase Peptidase_S78 Phage_int_SAM_3 HTH_11 VirE CSD Sigma70_r4
NC_002797.1,RdRP_1
NC_002985.1,Gemini_coat Gemini_BL1
NC_002984.1,Gemini_AL1_M Gemini_AL3 Gemini_AL1 Gemini_coat
NC_003054.1,Viral_Rep RNA_helicase Circo_capsid
NC_003138.2,RVT_1 Cauli_VI Peptidase_A3 MP
NC_000872.1,Sipho_tail VRR_NUC DUF669 AntA Phage_holin_1 Prophage_tail Phage_TTP_1 ANT PriCT_1 HK97-gp10_like Amidase_5 Phage_holin_4_1 Prim-Pol AAA_30 Phage_int_SAM_3 ResIII DUF859 Phage_integrase DUF1372 HTH_3 DUF1492 CHAP Phage_portal SLT Terminase_4 CLP_protease Spore_Cse60 DUF1366 Pox_D5 Phage_H_T_join Terminase_1 Helicase_C DUF1642 Peptidase_M78 DUF806 Arm-DNA-bind_4 Phage_connect_1 ZoocinA_TRD DUF1340 Phage_int_SAM_5 HNH Sipho_Gp157 Phage_capsid Phage_TAC_3 AAA_24
NC_002661.2,Phage_portal DUF1108 DUF1514 Phage_capsid PhageMin_Tail Sipho_tail Phage_Orf51 Phage_TTP_1 HTH_26 Amidase_3 Terminase_4 HNHc_6 Leukocidin Phage_XkdX DUF1381 CLP_protease DUF1064 Big_2 PVL_ORF50 Phage_pRha HTH_23 CHAP DUF2479 ERF Holin_SPP1 Phage_connect_1 Peptidase_M23 SSB DUF3168 Phg_2220_C HTH_3 HNH Terminase_1 SH3_5 DUF3269 Phage_integrase DUF2977 IstB_IS21 RinB dUTPase Prophage_tail Phage_Mu_Gam DUF2951 DUF1024
NC_003288.1,HK97-gp10_like DUF3269 Phage_Mu_F ANT Prophage_tail DUF3168 Lipase_GDSL_2 IstB_IS21 DUF3113 Lipase_GDSL DUF1381 DUF1064 AntA DUF2479 HTH_3 dUTPase_2 DUF2483 PVL_ORF50 DUF2977 Phage_integrase Glucosaminidase HTH_26 Rho_N DUF739 DUF1108 Phg_2220_C AAA_24 DUF2951 Phage_int_SAM_5 Phage_GP20 Phage_int_SAM_3 Peptidase_S24 Holin_SPP1 Arm-DNA-bind_4 Phage_XkdX Sipho_tail Phage_prot_Gp6 HNHc_6 Amidase_3 RinB Phage_Orf51 Trypsin_2 Phage_TAC_12 PTR Phage_connect_1 DUF1024 HTH_19 Terminase_6 CHAP
NC_003324.1,Hydrolase_2 Phage_integrase DUF5131 DUF4043 DUF1376 Peptidase_S74 DUF2312 VanY HTH_3 Arm-DNA-bind_3 Amidase_2 SNF2_N Eco57I NMT1_3 DNA_methylase Phage_AlpA
NC_003378.1,RVT_1 Peptidase_A3 zf-CCHC MP
NC_003387.1,DUF4355 D5_N SprT-like DUF4406 HTH_17 HNH Terminase_6 PG_binding_1 Amidase_2 Phage_capsid Abhydrolase_1 RNase_T Phage_prot_Gp6 DUF2637 RusA Whib Glutaredoxin
NC_001902.1,Peptidase_S78_2 Phage_terminase Phage_integrase Terminase_6 Phage_portal Terminase_6C
NC_003529.1,DUF3627 Baculo_E66 Arif-1 Glyco_transf_8 TATR Baculo_VP91_N Baculo_p74 PIF3 Peptidase_M60 Nucleo_P87 ChaB Baculo_LEF-2 PIF2 zf-C3HC4_3 Herpes_alk_exo Baculo_ODV-E27 GIY-YIG Baculo_11_kDa Ac76 Baculo_p47 TLP-20 Peptidase_C1 Baculo_p24 Baculo_helicase Baculo_F Baculo_DNA_bind DUF1251 LEF-9 LEF-8 DSPc Bro-N Baculo_p74_N Ribonuc_red_sm Baculo_IE-1 Baculo_p48 DUF424 Baculo_p26 Baculo_p33 PARG_cat DNA_pol_B Baculo_PP31 Baculo_VP39 Ribonuc_red_lgC DUF1623 Baculo_PEP_N Sod_Cu dUTPase UDPGT DNA_pol_B_exo2 LPMO_10 MUG113 DUF1247 PIF DUF1098 Ribonuc_red_lgN Inhibitor_I29 Baculo_E56 DUF1383 Baculo_LEF5 PNK3P zf-C3HC4 Baculo_PEP_C Desmo_N LEF-4 DUF1477 Baculo_RING NPV_P10 DUF844 zf-RING_2 Ac110_PIF RNA_ligase Polyhedrin DUF884 Baculo_LEF-3 BIR Baculo_gp41 DNA_pol_B_exo1 Phage_integrase Orf78 Baculo_E25 Baculo_LEF5_C ubiquitin DUF682 Baculo_ME53 FtsJ DUF1160 Baculo_FP Lyase_8_N DUF816 ATP-cone ChitinaseA_N DUF918 FGF Pkinase Baculo_VP1054 DUF5470 Mucin_bdg SprT-like AcMNPV_Ac109 Glyco_hydro_18 Baculo_19 Baculo_Y142 DUF919 T5orf172 DUF705 Pkip-1
NC_003609.1,Gemini_V2 Gemini_coat Gemini_AL1 Gemini_AL3 Gemini_AL1_M WCCH
NC_003709.1,Gemini_coat Gemini_BL1
NC_003708.1,Gemini_AL1_M Gemini_V2 Gemini_coat Gemini_AL1 Gemini_AL3 WCCH
NC_003868.1,Gemini_coat Gemini_BL1
NC_003867.1,Gemini_coat Gemini_AL1_M Gemini_AL1 Gemini_AL3
NC_001540.1,Parvo_coat Parvo_NS1 Parvo_coat_N NP1-WLL
NC_001669.1,T_Ag_DNA_bind Polyoma_coat2 Polyoma_coat Polyoma_lg_T_C Papo_T_antigen
NC_001706.1,Terminase_1 Phage_SSB Phage_capsid Phage_lysozyme DUF3310 DUF3882 ERF AAA_25
NC_001884.1,Excalibur ANT AAA_24 DHH HNH GyrI-like dUTPase DNA_pol3_alpha Acetyltransf_3 Ribonuc_red_sm XkdW Glycos_transf_2 Resolvase Glutaredoxin Sigma54_activat bPH_4 UPF0715 Metallophos DnaB_C SieB Bac_DNA_binding Phage_integrase Flavodoxin_NdrI PHP ABC_membrane IMS_C LXG HTH_3 Phage_XkdX Beta_helix Recombinase Peptidase_C39 RecU PhageMin_Tail ABC_tran Thioredoxin IMS_HHH SRAP DNA_ligase_A_M NT5C Antibiotic_NAT 3D HNH_3 Ribonuc_red_lgN SMI1_KNR4 Ribonuc_red_lgC Holin_SPP1 Peptidase_M23 HTH_26 Phage_int_SAM_1 DUF1273 YopX SNase NAGPA Holin_BhlA Terminase_6 IMS Amidase_2 Tox-SHH RNR_N Pectate_lyase_3 Gamma_PGA_hydro SLT SUKH_6 YolD Thymidylate_kin DUF4879 HHH_6 Phage_int_SAM_4 bPH_3 DNA_methylase DndB DsbB Phage_pRha SASP Sipho_tail RES
NC_001937.1,Gemini_coat Gemini_BL1
NC_001936.1,Gemini_AL3 Gemini_coat Gemini_AL2 Gemini_AL1 Gemini_AL1_M
NC_000935.1,Phage_lysozyme Peptidase_S24 P22_CoatProtein Terminase_3 Phage_holin_3_1 HTH_3 Phage_stabilise HTH_26 P22_Tail-4 SNF2_N Terminase_3C DUF2800 Phage_integrase Caudo_TAP Inj_translocase DNA_pol_A DUF2824 DUF2815 GP3_package VirE Phage_pRha Phage_antitermQ Head_binding P22_portal Bro-N
NC_001792.2,RNA_helicase Viral_Rep Circo_capsid
NC_002232.1,E6 Late_protein_L2 PPV_E1_N PPV_E2_C PPV_E2_N PPV_E1_C Late_protein_L1 E7
NC_001418.1,Secretin_N DUF2523 Neisseria_TspB Secretin Zot
NC_001447.1,Rho_N HTH_3 Phage_integrase
NC_001484.1,RVT_1 Hepatitis_core DNA_pol_viral_N DNA_pol_viral_C
NC_001538.1,T_Ag_DNA_bind Papo_T_antigen Polyoma_lg_T_C Polyoma_coat Polyoma_coat2
NC_001697.1,Terminase_6C Terminase_5 Phage_GPA Phage_integrase Baseplate_J Phage_holin_2_3 HicA_toxin DUF2586 Phage_CI_C Phage_fiber_2 Phage_CI_repr Phage_TAC_10 Phage_GPL Phage_GPO MazG P2_Phage_GpR Haemolytic Phage_lysozyme HicB_lk_antitox Tail_P2_I Phage_cap_P2 DUF2590 DUF2597 Phage_portal Terminase_6 PhageMin_Tail Dam Phage_term_smal Collar DUF3751
NC_002047.1,Gemini_coat Gemini_BL1
NC_002046.1,Gemini_AL1 Gemini_coat Gemini_AL1_M Gemini_AL3
NC_001956.1,Secretin_N Phage_GPA Secretin Zot
NC_002331.1,DNA_pol_B_exo2 Baculo_PEP_C DNA_pol_B Pkinase Bro-N ChitinaseA_N LEF-4 zf-C3HC4_2 DUF2661 GIY-YIG Polyhedrin Baculo_p74 DNA_pol_B_exo1 Baculo_Y142 Ac81 PIF TLP-20 ODV-E18 Phage_integrase DUF816 Baculo_PP31 Baculo_ODV-E27 DUF682 NPV_P10 NUDIX Baculo_p48 Baculo_DNA_bind Baculo_helicase T5orf172 RNase_H_2 Baculo_p33 PIF1 DUF1098 Baculo_p47 LPMO_10 Herpes_alk_exo DUF705 DUF844 RNA_ligase Baculo_p74_N Baculo_p24 MUG113 CBM_14 Baculo_FP Glyco_transf_8 Baculo_LEF5 DUF3627 Baculo_ME53 Baculo_VP1054 Baculo_PEP_N LEF-9 Baculo_gp41 AcMNPV_Ac109 Baculo_VP91_N Baculo_VP39 Sod_Cu Baculo_8kDa ChaB Baculo_F Baculo_E56 BIR Baculo_E66 Peptidase_C1 DUF884 Baculo_LEF5_C LEF-8 Desmo_N Baculo_LEF-2 PIF2 Lyase_8_N Peptidase_M10 Endonuclea_NS_2 Baculo_LEF-11 Baculo_RING DUF919 Baculo_E25 DNA_ligase_A_M Mucin_bdg PIF3 Peptidase_M60 Inhibitor_I29 Orf78 Glyco_hydro_18
NC_001835.1,AAA_25 L_lac_phage_MSP Caudo_bapla_RBP Peptidase_S78 DUF3882 HNH Amidase_2 Phage_portal DUF3310 Terminase_1 Phage_SSB Baseplate DUF1071
NC_002543.1,Gemini_AL1 Gemini_coat Gemini_AL1_M
NC_002593.1,Ac81 Baculo_p48 Baculo_11_kDa Baculo_E56 Peptidase_M10 NUDIX TLP-20 Baculo_RING PIF1 Polyhedrin Baculo_VP39 DUF884 Baculo_LEF-11 RNase_H_2 Phage_integrase DUF1098 Baculo_LEF5 NPV_P10 zf-C3HC4_3 Baculo_PEP_N DNA_ligase_A_M Desmo_N Baculo_p47 PIF6 Baculo_gp41 Baculo_helicase Ac76 Pkinase DUF705 ubiquitin CBM_14 DNA_pol_B_exo1 Baculo_VP1054 DUF816 Baculo_DNA_bind BIR Baculo_F Baculo_FP DNA_pol_B_exo2 Baculo_E25 Baculo_Y142 Baculo_p33 LEF-8 Baculo_LEF-2 Herpes_alk_exo LEF-9 DUF682 Baculo_19 Baculo_p24 Baculo_E66 UDPGT Sod_Cu Baculo_p74 DNA_pol_B Baculo_VP91_N LEF-4 PIF2 DUF844 FGF Lyase_8_N DUF919 AcMNPV_Ac109 Ac110_PIF PIF Baculo_PEP_C Baculo_LEF5_C Bro-N Baculo_p74_N DUF1160 Baculo_ODV-E27
NC_002654.2,RRM_1 AcMNPV_Ac109 Baculo_LEF-11 Baculo_PEP_C DUF2704 Glyco_hydro_18 Baculo_ME53 Ac76 LEF-9 Inhibitor_I29 Peptidase_C1 DUF3627 ChaB Bro-N TLP-20 Phage_integrase Baculo_FP Ac110_PIF PIF Baculo_VP1054 T5orf172 Orf78 Baculo_DNA_bind MUG113 PIF3 TATR Pkip-1 DUF1623 Baculo_LEF-3 Sod_Cu ODV-E18 Baculo_E25 Baculo_p48 Baculo_p74 Baculo_ODV-E27 Baculo_VP91_N DUF1160 DUF816 DUF1251 Baculo_helicase Baculo_Y142 Baculo_19 Nucleo_LEF-12 Baculo_PEP_N Baculo_LEF5 NPV_P10 Baculo_E56 LPMO_10 DUF1247 DUF682 FtsJ Baculo_p74_N Nucleo_P87 Baculo_p33 DUF918 Baculo_LEF5_C zf-C3HC4_3 DUF1098 PIF2 DNA_pol_B Baculo_11_kDa DUF424 CBM_14 Baculo_p47 Baculo_gp41 UDPGT Glyco_transf_8 Desmo_N LEF-8 Lyase_8_N FGF DUF884 Baculo_E66 Baculo_RING ubiquitin DUF919 DUF1477 DNA_pol_B_exo1 PIF6 BIR Pkinase Baculo_p24 DUF844 Baculo_VP39 zf-C3HC4 Baculo_LEF-2 Baculo_p26 LEF-4 DUF705 Polyhedrin DUF2616 Baculo_F PARG_cat Baculo_PP31 Arif-1 Herpes_alk_exo ChitinaseA_N Baculo_IE-1
NC_002669.1,EntA_Immun Phage_integrase DUF722 PriCT_1 Sigma70_r4 Prim-Pol Phage_pRha Phage_int_SAM_3 Pox_D5 HTH_19 D5_N Terminase_2
NC_002747.1,DUF1071 HeH Phage_prot_Gp6 SHOCT FRG XhlA dUTPase Terminase_6C HTH_3 Prophage_tail Glyco_hydro_25 ORF6C Peptidase_M78 DUF1642 Sipho_tail DUF722 DnaB_2 Recombinase Terminase_6 Phage_tail_2 Phage_holin_1 Phage_connect_1 HK97-gp10_like LysM bPH_3 Peptidase_M23 DUF739 DUF2479 SSB Resolvase Caudo_bapla_RBP PhageMin_Tail Fic DUF4355 ORF6N Phage_TAC_12 Phage_Mu_F Zn_ribbon_recom
NC_002981.1,Gemini_coat Gemini_AL3 Gemini_AL1 Gemini_AL1_M
NC_003038.1,ResIII L1R_F9L Capsid_N A2L_zn_ribbon Glyco_transf_90 Capsid_NCLDV DNA_pol_B_exo1 SNF2_N RNA_pol_Rpb1_1 zf-C3HC4_3 PriCT_2 Helicase_C Pkinase_Tyr Thymidylate_kin PIF1 Bro-N Peptidase_M10 RNA_pol_Rpb2_7 TOPRIM_C DNA_topoisoIV GIY-YIG DNA_pol_B HMG_box SMC_N Ribonuc_red_lgN NMN_transporter Evr1_Alr KilA-N RNA_pol_Rpb2_3 BIR RNA_pol_Rpb2_4 NAGPA dUTPase Ribonuc_red_sm 2H-phosphodiest DSPc Nuc-transf zf-C3HC4 MSV199 RNA_pol_Rpb2_1 XRN_N XPG_I DNA_ligase_OB Methyltransf_31 Peptidase_C1 NUDIX 2C_adapt NIF RNA_pol_N RNA_pol_Rpb2_6 Thioredoxin Patatin XPG_N Ribonuc_red_lgC TFIIS_C Pox_VLTF3 RNA_pol_Rpb1_4 Metallophos SWIB RNA_pol_Rpb1_2 DNA_gyraseB dsrm D5_N DNA_ligase_aden RNA_pol_Rpb1_5 RNA_pol_Rpb5_C Thymidylat_synt Pkinase RNA_pol_Rpb1_3 T5orf172 OTU DUF3627 dNK MUG113
NC_003084.1,LEF-9 Baculo_19 ODV-E18 PIF TFIIS_C YqaJ Bro-N Baculo_F DUF705 Baculo_p33 Baculo_p74 Baculo_p74_N DNA_pol_B_exo2 Baculo_VP1054 PIF2 DNA_pol_B_exo1 PIF3 LEF-4 LEF-8 Baculo_helicase PIF6 DNA_pol_B Baculo_E56 Ac81 Baculo_VP91_N Phage_integrase
NC_003214.2,ResIII DUF1374 Glycos_transf_1 Helicase_C RHH_1 DEAD DUF1874 PDDEXK_1
NC_002515.1,Collagen DNA_pol_B_2
NC_003219.1,PPV_E1_C
NC_003157.5,Sipho_tail ASCH KTSC Phage_r1t_holin Phage_capsid Minor_capsid_3 Phage_int_SAM_3 Phage_Gp15 Phage_min_cap2 RusA SelR DUF3310 Arm-DNA-bind_4 Phage_prot_Gp6 PMSR DUF1642 Minor_capsid_2 ERF ANT YopX SH3_5 DUF4065 AntA Minor_capsid_1 SSB CHAP Stap_Strp_tox_C DnaB_2 HTH_19 Glucosaminidase Gp58 DUF1366 ParBc Sipho_Gp157 Phage_integrase
NC_003357.1,Gemini_V2 WCCH Gemini_AL1 Gemini_AL1_M Gemini_coat
NC_003382.1,DUF1319 RVP RVT_1 zf-CCHC
NC_009333.1,Herpes_UL52 Herpes_Helicase Herpes_UL31 Ribonuc_red_sm UDG Glycoprot_B_PH2 Herpes_MCP Herpes_BBRF1 Herpes_UL69 Glycoprotein_B Herpes_V23 Herpes_glycop_H Herpes_TK RINGv Herpes_UL33 DNA_pack_N Herpes_UL17 Herpes_UL16 DNA_pack_C Herpes_UL92 Herpes_UL95 AIRS_C Herpes_UL6 Herpes_U30 Peptidase_S21 DNA_pol_B_exo1 DUF848 Herpes_alk_exo Cyclin_N Viral_DNA_bp Herpes_BTRF1 Phage_glycop_gL Herpes_U34 Ribonuc_red_lgN DHFR_1 Herpes_env PRTP Herpes_UL25 Glycoprot_B_PH1 Ribonuc_red_lgC Herpes_ORF11 DNA_pol_B Herpes_TAF50 Herpes_glycoH_C Herpes_UL7 Herpes_UL79 Tegument_dsDNA Herpes_BLRF2 7tm_1 Herpes_VP19C Herpes_DNAp_acc Bcl-2 Herpes_TK_C Herpes_UL87 Herpes_glycop Herpes_teg_N Herpes_HEPA Herpes_U44 Herpes_UL73 Thymidylat_synt ig dNK GATase_5 dUTPase DUF832 Herpes_BMRF2 Herpes_UL49_1 Sushi
NC_003460.1,Zot
NC_003556.1,Gemini_AL3 Gemini_coat WCCH Gemini_AL1 Gemini_AL1_M Gemini_V2
NC_003665.1,Gemini_coat Gemini_BL1
NC_003664.1,Gemini_coat Gemini_AL1_M Gemini_AL2 Gemini_AL1
NC_003804.1,Gemini_coat
NC_003803.1,Gemini_coat WCCH Gemini_AL1 Gemini_V2 Gemini_AL1_M
NC_003831.1,Gemini_BL1 Gemini_coat
NC_003830.1,Gemini_AL1_M Gemini_AL3 Gemini_coat Gemini_AL1
NC_003887.1,Gemini_coat Gemini_BL1
NC_003866.1,Gemini_AL3 Gemini_AL1 Gemini_AL1_M Gemini_coat Gemini_AL2
NC_003896.1,Gemini_V2 Gemini_AL1_M WCCH Gemini_AC4_5 Gemini_AL1 Gemini_AL3
